Температура,Деформация,Время,Напряжение,Напряжение_цикла,Цикл,Угол_град,d_Д,d_В,Скорость_raw,Скорость,log_Время,T_гом,Угол_штрих
27.75,0.0,5.165,44.5202,45,cycle_45,0.0,0.0,0.2329999999999996,0.0,0.0,1.818888136616308,0.322508038585209,0.0
27.75,0.0,5.397,44.5257,45,cycle_45,0.0,0.0,0.2320000000000002,0.0,0.0,1.8558291304680008,0.322508038585209,0.0
28.0,0.0,5.63,44.526,45,cycle_45,0.0,0.0,0.2329999999999996,0.0,0.0,1.891604804197771,0.3227759914255091,0.0
28.0,0.0,5.863,44.5246,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,1.9261446639264976,0.3227759914255091,0.0
27.75,0.0,6.095,44.5254,45,cycle_45,0.0,0.0,0.2319999999999993,0.0,0.0,1.9593903106120056,0.322508038585209,0.0
28.25,0.0,6.328,44.5231,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,1.9917026273718288,0.3230439442658092,0.0
28.25,0.0,6.561,44.5274,45,cycle_45,0.0,0.0,0.2329999999999996,0.0,0.0,2.023003456576133,0.3230439442658092,0.0
28.25,0.0,6.793,44.5226,45,cycle_45,0.0,0.0,0.2320000000000002,0.0,0.0,2.053225894861424,0.3230439442658092,0.0
27.75,0.0,7.026,44.5224,45,cycle_45,0.0,0.0,0.2329999999999996,0.0,0.0,2.0826862718447248,0.322508038585209,0.0
27.75,0.0,7.259,44.5285,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.11130351482858,0.322508038585209,0.0
28.5,0.0,7.491,44.5248,45,cycle_45,0.0,0.0,0.2319999999999993,0.0,0.0,2.1390067790172265,0.3233118971061093,0.0
27.75,0.0,7.724,44.527,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.1660778483393828,0.322508038585209,0.0
28.25,0.0,7.957,44.5209,45,cycle_45,0.0,0.0,0.2329999999999996,0.0,0.0,2.192435349493058,0.3230439442658092,0.0
28.5,0.0,8.189,44.5254,45,cycle_45,0.0,0.0,0.2320000000000002,0.0,0.0,2.218007116518748,0.3233118971061093,0.0
28.25,0.0,8.422,44.5292,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.243047380277849,0.3230439442658092,0.0
28.5,0.0,8.655,44.5247,45,cycle_45,0.0,0.0,0.2329999999999987,0.0,0.0,2.267475915880478,0.3233118971061093,0.0
28.25,0.0,8.887,44.5177,45,cycle_45,0.0,0.0,0.2320000000000011,0.0,0.0,2.291220762914996,0.3230439442658092,0.0
28.25,0.0,9.12,44.5222,45,cycle_45,0.0,0.0,0.2329999999999987,0.0,0.0,2.31451366385932,0.3230439442658092,0.0
28.25,0.0,9.353,44.5246,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.337276332783976,0.3230439442658092,0.0
28.0,0.0,9.585,44.5222,45,cycle_45,0.0,0.0,0.2320000000000011,0.0,0.0,2.3594379045868283,0.3227759914255091,0.0
28.0,0.0,9.818,44.5223,45,cycle_45,0.0,0.0,0.2329999999999987,0.0,0.0,2.381211413449236,0.3227759914255091,0.0
28.25,0.0,10.051,44.5217,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.402520921606645,0.3230439442658092,0.0
28.25,0.0,10.283,44.5214,45,cycle_45,0.0,0.0,0.2319999999999993,0.0,0.0,2.423297168156309,0.3230439442658092,0.0
28.5,0.0,10.516,44.5257,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.4437373727499296,0.3233118971061093,0.0
27.25,0.0,10.749,44.5257,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.463768130585436,0.3219721329046087,0.0
28.25,0.0,10.981,44.5197,45,cycle_45,0.0,0.0,0.2319999999999993,0.0,0.0,2.483322061657762,0.3230439442658092,0.0
27.75,0.0,11.214,44.5205,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.502582834800943,0.322508038585209,0.0
28.5,0.0,11.447,44.522,45,cycle_45,0.0,0.0,0.2329999999999987,0.0,0.0,2.5214796300188405,0.3233118971061093,0.0
28.25,0.0,11.679,44.5279,45,cycle_45,0.0,0.0,0.2320000000000011,0.0,0.0,2.539947081545811,0.3230439442658092,0.0
27.75,0.0,11.912,44.52,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.558157111527593,0.322508038585209,0.0
28.25,0.0,12.145,44.5205,45,cycle_45,0.0,0.0,0.2329999999999987,0.0,0.0,2.5760414581818445,0.3230439442658092,0.0
28.25,0.0,12.377,44.5249,45,cycle_45,0.0,0.0,0.2320000000000011,0.0,0.0,2.5935368143134494,0.3230439442658092,0.0
28.0,0.0,12.61,44.5235,45,cycle_45,0.0,0.0,0.2329999999999987,0.0,0.0,2.6108048166633746,0.3227759914255091,0.0
28.25,0.0,12.843,44.5221,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.627779689705598,0.3230439442658092,0.0
28.5,0.0,13.075,44.5255,45,cycle_45,0.0,0.0,0.2319999999999993,0.0,0.0,2.644400174025754,0.3233118971061093,0.0
27.75,0.0,13.308,44.5188,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.6608188213967714,0.322508038585209,0.0
28.25,0.0,13.541,44.5275,45,cycle_45,0.0,0.0,0.2330000000000005,0.0,0.0,2.6769722455313487,0.3230439442658092,0.0
28.0,0.0,13.773,44.5207,45,cycle_45,0.0,0.0,0.2319999999999993,0.0,0.0,2.692801190339471,0.3227759914255091,0.0
