Complexity,Loss,Equation
1,4951.633,"25.618896"
3,2213.9683,"x0 * 15.718897"
5,2060.9023,"(x0 + 0.85301965) * 14.901429"
7,1826.421,"((x0 - 4.4611993) + x1) * 14.375008"
8,1144.5817,"exp(x2 * ((x1 - 5.34512) * 0.08294514))"
9,1144.0457,"sqrt(exp((x1 - 5.3467994) * (x2 * 0.16682237)))"
10,697.5591,"exp(((x1 - 5.3771644) * 0.12745018) * x2) * 0.08501689"
12,611.42456,"x0 + (exp(x2 * ((x1 - 5.377429) * 0.12669219)) * 0.084614135)"
14,381.4844,"(exp((x1 - 5.452965) * (x2 * 0.12973866)) * 0.096758276) - (x0 / -0.13327609)"
